Date,AAPL
1990-01-02,1.127188
1990-01-03,1.134753
1990-01-04,1.138535
1990-01-05,1.142318
1990-01-08,1.149883
1990-01-09,1.138535
1990-01-10,1.089363
1990-01-11,1.043972
1990-01-12,1.043972
1990-01-15,1.036407
1990-01-16,1.05532
1990-01-17,1.006147
1990-01-18,0.97967
1990-01-19,1.036407
1990-01-22,1.006147
1990-01-23,1.021277
1990-01-24,1.028842
1990-01-25,1.032625
1990-01-26,0.991017
1990-01-29,1.006147
1990-01-30,1.028842
1990-01-31,1.028842
1990-02-01,1.017495
1990-02-02,1.036407
1990-02-05,1.059102
1990-02-06,1.051538
1990-02-07,1.006147
1990-02-08,0.998582
1990-02-09,1.036407
1990-02-12,1.028842
1990-02-13,1.043972
1990-02-14,1.036407
1990-02-15,1.036407
1990-02-16,1.024569
1990-02-20,1.01698
1990-02-21,1.032159
1990-02-22,1.001801
1990-02-23,1.00939
1990-02-26,1.032159
1990-02-27,1.01698
1990-02-28,1.032159
1990-03-01,1.039748
1990-03-02,1.024569
1990-03-05,1.047337
1990-03-06,1.070106
1990-03-07,1.0739
1990-03-08,1.115642
1990-03-09,1.119437
1990-03-12,1.111847
1990-03-13,1.119437
1990-03-14,1.123231
1990-03-15,1.115642
1990-03-16,1.221894
1990-03-19,1.286403
1990-03-20,1.256046
1990-03-21,1.263635
1990-03-22,1.237072
1990-03-23,1.282609
1990-03-26,1.282609
1990-03-27,1.275019
1990-03-28,1.252251
1990-03-29,1.248457
1990-03-30,1.221894
1990-04-02,1.221894
1990-04-03,1.26743
1990-04-04,1.252251
1990-04-05,1.221894
1990-04-06,1.21051
1990-04-09,1.248457
1990-04-10,1.252251
1990-04-11,1.290198
1990-04-12,1.312966
1990-04-16,1.328145
1990-04-17,1.312966
1990-04-18,1.312966
1990-04-19,1.221894
1990-04-20,1.221894
1990-04-23,1.206715
1990-04-24,1.176357
1990-04-25,1.176357
1990-04-26,1.180152
1990-04-27,1.187741
1990-04-30,1.195331
1990-05-01,1.20292
1990-05-02,1.206715
1990-05-03,1.214304
1990-05-04,1.214304
1990-05-07,1.259841
1990-05-08,1.26743
1990-05-09,1.271225
1990-05-10,1.256046
1990-05-11,1.293993
1990-05-14,1.26743
1990-05-15,1.26743
1990-05-16,1.263635
1990-05-17,1.259841
1990-05-18,1.206715
1990-05-21,1.202454
1990-05-22,1.259533
1990-05-23,1.278559
1990-05-24,1.278559
1990-05-25,1.217675
1990-05-29,1.248117
1990-05-30,1.259533
1990-05-31,1.255727
1990-06-01,1.240507
1990-06-04,1.240507
1990-06-05,1.202454
1990-06-06,1.202454
1990-06-07,1.187233
1990-06-08,1.164402
1990-06-11,1.187233
1990-06-12,1.232896
1990-06-13,1.210065
1990-06-14,1.210065
1990-06-15,1.202454
1990-06-18,1.194844
1990-06-19,1.206259
1990-06-20,1.217675
1990-06-21,1.274754
1990-06-22,1.263338
1990-06-25,1.255727
1990-06-26,1.236701
1990-06-27,1.263338
1990-06-28,1.309001
1990-06-29,1.362274
1990-07-02,1.339443
1990-07-03,1.339443
1990-07-05,1.324222
1990-07-06,1.362274
1990-07-09,1.419353
1990-07-10,1.430768
1990-07-11,1.430768
1990-07-12,1.442184
1990-07-13,1.423158
1990-07-16,1.388911
1990-07-17,1.347053
1990-07-18,1.358469
1990-07-19,1.270948
1990-07-20,1.248117
1990-07-23,1.263338
1990-07-24,1.282364
1990-07-25,1.286169
1990-07-26,1.259533
1990-07-27,1.259533
1990-07-30,1.289975
1990-07-31,1.278559
1990-08-01,1.289975
1990-08-02,1.324222
1990-08-03,1.255727
1990-08-06,1.202454
1990-08-07,1.202454
1990-08-08,1.22148
1990-08-09,1.202454
1990-08-10,1.179623
1990-08-13,1.21387
1990-08-14,1.210065
1990-08-15,1.194844
1990-08-16,1.172012
1990-08-17,1.111129
1990-08-20,1.122122
1990-08-21,1.106855
1990-08-22,1.072504
1990-08-23,1.053421
1990-08-24,1.083955
1990-08-27,1.152656
1990-08-28,1.164106
1990-08-29,1.137389
1990-08-30,1.106855
1990-08-31,1.129755
1990-09-04,1.129755
1990-09-05,1.099222
1990-09-06,1.091588
1990-09-07,1.110672
1990-09-10,1.091588
1990-09-11,1.038154
1990-09-12,1.038154
1990-09-13,1.03052
1990-09-14,1.038154
1990-09-17,1.03052
1990-09-18,1.01907
1990-09-19,0.992353
1990-09-20,0.965636
1990-09-21,0.961819
1990-09-24,0.923652
1990-09-25,0.916018
1990-09-26,0.908385
1990-09-27,0.862584
1990-09-28,0.885484
1990-10-01,0.931285
1990-10-02,0.904568
1990-10-03,0.824416
1990-10-04,0.85495
1990-10-05,0.85495
1990-10-08,0.889301
1990-10-09,0.85495
1990-10-10,0.809149
1990-10-11,0.847317
1990-10-12,0.862584
1990-10-15,0.847317
1990-10-16,0.763348
1990-10-17,0.809149
1990-10-18,0.870217
1990-10-19,0.958002
1990-10-22,0.950369
1990-10-23,0.946552
1990-10-24,0.931285
1990-10-25,0.916018
1990-10-26,0.916018
1990-10-29,0.912201
1990-10-30,0.927468
1990-10-31,0.938918
1990-11-01,0.931285
1990-11-02,0.969452
1990-11-05,1.015253
1990-11-06,1.022887
1990-11-07,1.015253
1990-11-08,1.053421
1990-11-09,1.083955
1990-11-12,1.106855
1990-11-13,1.099222
1990-11-14,1.129755
1990-11-15,1.099222
1990-11-16,1.076095
1990-11-19,1.11439
1990-11-20,1.087584
1990-11-21,1.106731
1990-11-23,1.11439
1990-11-26,1.125879
1990-11-27,1.148856
1990-11-28,1.125879
1990-11-29,1.125879
1990-11-30,1.125879
1990-12-03,1.168003
1990-12-04,1.179492
1990-12-05,1.229276
1990-12-06,1.263741
1990-12-07,1.302037
1990-12-10,1.27906
1990-12-11,1.225446
1990-12-12,1.213958
1990-12-13,1.248423
1990-12-14,1.221617
1990-12-17,1.229276
1990-12-18,1.294378
1990-12-19,1.282889
1990-12-20,1.347991
1990-12-21,1.378627
1990-12-24,1.347991
1990-12-26,1.340332
1990-12-27,1.332673
1990-12-28,1.317355
1990-12-31,1.317355
1991-01-02,1.332673
1991-01-03,1.317355
1991-01-04,1.325014
1991-01-07,1.325014
1991-01-08,1.325014
1991-01-09,1.386286
1991-01-10,1.443729
1991-01-11,1.439899
1991-01-14,1.416922
1991-01-15,1.43224
1991-01-16,1.524149
1991-01-17,1.570103
1991-01-18,1.539467
1991-01-21,1.554785
1991-01-22,1.570103
1991-01-23,1.585421
1991-01-24,1.59691
1991-01-25,1.639034
1991-01-28,1.66967
1991-01-29,1.646693
1991-01-30,1.700307
1991-01-31,1.700307
1991-02-01,1.707966
1991-02-04,1.692648
1991-02-05,1.769238
1991-02-06,1.742431
1991-02-07,1.769238
1991-02-08,1.83434
1991-02-11,1.880294
1991-02-12,1.838169
1991-02-13,1.838169
1991-02-14,1.75009
1991-02-15,1.769128
1991-02-19,1.842043
1991-02-20,1.872743
1991-02-21,1.811342
1991-02-22,1.834367
1991-02-25,1.780641
1991-02-26,1.788316
1991-02-27,1.788316
1991-02-28,1.757616
1991-03-01,1.772966
1991-03-04,1.792154
1991-03-05,1.937982
1991-03-06,1.934145
1991-03-07,2.064623
1991-03-08,1.995546
